date,account,category,amount,currency,converted amount,currency,description
04/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"31,500",COP,"31,500",COP,Pago tarjeta crédito
04/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"201,000",COP,"201,000",COP,Pago tarjeta crédito
05/09/2021,Tarjeta crédito rappi,Transporte,"-6,066",COP,"-6,066",COP,Taxi a estación metro bello
05/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-6,066",COP,"-6,066",COP,Pago tarjeta crédito
05/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"6,066",COP,"6,066",COP,Pago tarjeta crédito
06/09/2021,Fiducuenta,Ahorros,"7,898.57",COP,"7,898.57",COP,Subió inversión
07/09/2021,Fiducuenta,Facturas,-337.1,COP,-337.1,COP,Bajó inversión
08/09/2021,Fiducuenta,Facturas,"-3,843.56",COP,"-3,843.56",COP,Bajó inversión
08/09/2021,Bancolombia,Casa,"-5,701",COP,"-5,701",COP,Claro hogar
08/09/2021,Tarjeta crédito rappi,Casa,"-51,774.09",COP,"-51,774.09",COP,Pago claro datos
08/09/2021,Bancolombia,Casa,-197,COP,-197,COP,Rappi verificación
08/09/2021,Bancolombia,To 'Tarjeta crédito rappi',-4.5,COP,-4.5,COP,Pago tarjeta crédito
08/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-51,774",COP,"-51,774",COP,Pago tarjeta crédito
08/09/2021,Tarjeta crédito rappi,From 'Bancolombia',4.5,COP,4.5,COP,Pago tarjeta crédito
08/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"51,774",COP,"51,774",COP,Pago tarjeta crédito
09/09/2021,Fiducuenta,Ahorros,"1,789.46",COP,"1,789.46",COP,Subió inversión
10/09/2021,Fiducuenta,Facturas,"-6,002.73",COP,"-6,002.73",COP,Bajó inversión
11/09/2021,Efectivo,Depósitos,"200,000",COP,"200,000",COP,Ajuste efectivo
12/09/2021,Tarjeta crédito rappi,Restaurante,"-47,000",COP,"-47,000",COP,Almuerzo san jerónimo
12/09/2021,Efectivo,Transporte,"-8,000",COP,"-8,000",COP,Mototaxi parque san jerónimo a guaracú
12/09/2021,Tarjeta crédito rappi,Casa,"-26,900",COP,"-26,900",COP,Netflix
12/09/2021,Tarjeta crédito rappi,Entretenimiento,"-65,100",COP,"-65,100",COP,Consumo hostería guaracu San jerónimo
12/09/2021,Efectivo,Entretenimiento,"-18,000",COP,"-18,000",COP,Malteadas y agua San jerónimo
12/09/2021,Efectivo,Transporte,"-7,000",COP,"-7,000",COP,Mototaxi guaracu a parque san jerónimo
12/09/2021,Efectivo,Transporte,"-36,000",COP,"-36,000",COP,Bus san jerónimo a Medellín
12/09/2021,Efectivo,Comida,"-20,000",COP,"-20,000",COP,Tamarindo y galletas San jerónimo
12/09/2021,Tarjeta crédito rappi,Transporte,"-13,825",COP,"-13,825",COP,Didi a casa leidy y mi casa
12/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-73,900",COP,"-73,900",COP,Pago tarjeta crédito
12/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-13,825",COP,"-13,825",COP,Pago tarjeta crédito
12/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"73,900",COP,"73,900",COP,Pago tarjeta crédito
12/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"13,825",COP,"13,825",COP,Pago tarjeta crédito
13/09/2021,Fiducuenta,Ahorros,"16,864.52",COP,"16,864.52",COP,Subió inversión
13/09/2021,Tarjeta crédito rappi,Restaurante,"-45,800",COP,"-45,800",COP,Quesadillas premium plaza
13/09/2021,Bancolombia,Salud,"-170,000",COP,"-170,000",COP,Pago cita dermatologia leidy
13/09/2021,Tarjeta crédito rappi,Salud,"-122,400",COP,"-122,400",COP,Crema leidy medipiel
13/09/2021,Efectivo,Restaurante,"-5,400",COP,"-5,400",COP,Helado popsy premium
13/09/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-26,857",COP,"-26,857",COP,Pago tarjeta crédito
13/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-45,800",COP,"-45,800",COP,Pago tarjeta crédito
13/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"45,800",COP,"45,800",COP,Pago tarjeta crédito
14/09/2021,Fiducuenta,Ahorros,769.05,COP,769.05,COP,Subió inversión
14/09/2021,Bancolombia,Salario,"2,626,136",COP,"2,626,136",COP,Salario
14/09/2021,Bancolombia,To 'Fiducuenta',"-450,000",COP,"-450,000",COP,Traslado fiducuenta
14/09/2021,Bancolombia,To 'Renta Fija Plazo',"-450,000",COP,"-450,000",COP,Traslado renta fija plazo
14/09/2021,Bancolombia,To 'Tyba comprar vivienda',"-100,000",COP,"-100,000",COP,Traslado tyba compra vivienda
14/09/2021,Bancolombia,To 'Tyba portafolio 8',"-100,000",COP,"-100,000",COP,Traslado tyba portafolio 8
14/09/2021,Bancolombia,To 'Renta sostenible global',"-100,000",COP,"-100,000",COP,Traslado sostenible global
14/09/2021,Bancolombia,To 'Renta alta convicción',"-100,000",COP,"-100,000",COP,Traslado alta convicción
14/09/2021,Fiducuenta,From 'Bancolombia',"450,000",COP,"450,000",COP,Traslado fiducuenta
15/09/2021,Fiducuenta,Facturas,"-8,869.4",COP,"-8,869.4",COP,Bajó inversión
16/09/2021,Fiducuenta,Ahorros,"4,319.68",COP,"4,319.68",COP,Subió inversión
16/09/2021,Bancolombia,Depósitos,"26,570.47",COP,"26,570.47",COP,Ajuste cuenta ahorros
